account,suppress_reason,evidence
chainguard-dev,app_installed,stepsecurity-app[bot] PRs in 42 repos; e.g. chainguard-dev/apko
northwood-labs,app_installed,stepsecurity-app[bot] PRs in 26 repos; e.g. northwood-labs/terraform-provider-corefunc
bendoerr-terraform-modules,app_installed,stepsecurity-app[bot] PRs in 13 repos; e.g. bendoerr-terraform-modules/terraform-aws-defaults
chainguard-demo,app_installed,stepsecurity-app[bot] PRs in 10 repos; e.g. chainguard-demo/guardcraft-server
lgtm-hq,app_installed,stepsecurity-app[bot] PRs in 11 repos; e.g. lgtm-hq/lgtm-ci
elide-dev,app_installed,stepsecurity-app[bot] PRs in 14 repos; e.g. elide-dev/elide
base,app_installed,stepsecurity-app[bot] PRs in 31 repos; e.g. base/base
chainguard-sandbox,app_installed,stepsecurity-app[bot] PRs in 10 repos; e.g. chainguard-sandbox/osqtool
circlefin,app_installed,stepsecurity-app[bot] PRs in 29 repos; e.g. circlefin/stablecoin-evm
circlefin,policy_store,policy store / api-key in 5 repos
wolfi-dev,app_installed,stepsecurity-app[bot] PRs in 6 repos; e.g. wolfi-dev/wolfictl
hashgraph,app_installed,stepsecurity-app[bot] PRs in 35 repos; e.g. hashgraph/guardian
PaddleHQ,app_installed,stepsecurity-app[bot] PRs in 12 repos; e.g. PaddleHQ/paddle-nextjs-starter-kit
PaddleHQ,policy_store,policy store / api-key in 4 repos
chainguard-images,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. chainguard-images/images
1898andCo,app_installed,stepsecurity-app[bot] PRs in 5 repos; e.g. 1898andCo/HAOS
prowler-cloud,app_installed,stepsecurity-app[bot] PRs in 6 repos; e.g. prowler-cloud/prowler
inferadb,app_installed,stepsecurity-app[bot] PRs in 15 repos; e.g. inferadb/control
ArcavenAE,app_installed,stepsecurity-app[bot] PRs in 17 repos; e.g. ArcavenAE/ThreeDoors
rudderlabs,app_installed,stepsecurity-app[bot] PRs in 106 repos; e.g. rudderlabs/rudder-server
coveooss,app_installed,stepsecurity-app[bot] PRs in 22 repos; e.g. coveooss/json-schema-for-humans
edera-dev,app_installed,stepsecurity-app[bot] PRs in 17 repos; e.g. edera-dev/krata
1Password,app_installed,stepsecurity-app[bot] PRs in 44 repos; e.g. 1Password/typeshare
aerospike,app_installed,stepsecurity-app[bot] PRs in 88 repos; e.g. aerospike/aerospike-server
vexxhost,app_installed,stepsecurity-app[bot] PRs in 78 repos; e.g. vexxhost/atmosphere
coveo,app_installed,stepsecurity-app[bot] PRs in 16 repos; e.g. coveo/search-ui
utilitywarehouse,app_installed,stepsecurity-app[bot] PRs in 56 repos; e.g. utilitywarehouse/wiresteward
coinbase,app_installed,stepsecurity-app[bot] PRs in 59 repos; e.g. coinbase/coinbase-wallet-sdk
hiero-ledger,app_installed,stepsecurity-app[bot] PRs in 36 repos; e.g. hiero-ledger/hiero-consensus-specifications
NetApp,app_installed,stepsecurity-app[bot] PRs in 22 repos; e.g. NetApp/trident
octo-sts,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. octo-sts/app
NodeSecure,app_installed,stepsecurity-app[bot] PRs in 11 repos; e.g. NodeSecure/cli
surrealdb,app_installed,stepsecurity-app[bot] PRs in 10 repos; e.g. surrealdb/surrealdb
maximhq,app_installed,stepsecurity-app[bot] PRs in 10 repos; e.g. maximhq/bifrost
